City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
112,Bielsk Podlaski,PL,81.25,clear sky,52.7651,23.1865,Hotel Unibus
113,Bella Vista,US,85.98,clear sky,36.4295,-94.2316,The Inn at Bella Vista
114,Pau,FR,85.64,broken clouds,43.4167,-0.5833,Le Kitch
116,Nantucket,US,76.96,clear sky,41.2835,-70.0995,Jared Coffin House
117,Ormara,PK,82.09,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
123,Bud,US,80.22,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
124,Vila Franca Do Campo,PT,77.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
126,Shihezi,CN,87.08,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
128,Kulhudhuffushi,MV,82.9,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
129,Caravelas,BR,80.1,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
132,Manta,EC,76.78,few clouds,-0.95,-80.7333,Balandra Hotel
136,Ponta Do Sol,PT,77.63,scattered clouds,32.6667,-17.1,Hotel do Campo
138,Meiganga,CM,79.79,broken clouds,6.5167,14.3,DFR HOUSE
139,Rzhev,RU,80.06,very heavy rain,56.2624,34.3282,Hostel Na Razina
140,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
141,Ondjiva,AO,80.64,clear sky,-17.0667,15.7333,SOS Motel
147,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
149,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
153,Pryluky,UA,85.35,broken clouds,50.5932,32.3876,Отель Прилуки
154,Lapua,FI,75.88,overcast clouds,62.9693,23.0088,Hotelli Lapuahovi
162,Veraval,IN,82.09,overcast clouds,20.9,70.3667,Lords Inn Somnath
165,Panama City,PA,87.06,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
166,Porto Novo,BJ,84.02,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
167,Praia Da Vitoria,PT,75.45,few clouds,38.7333,-27.0667,Hotel Branco I
169,Acarau,BR,87.85,few clouds,-2.8856,-40.12,castelo pizzaria
180,Muros,ES,78.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
183,Samarina,RU,78.69,scattered clouds,57.8878,27.8054,Setomaa Mõtlusait
185,Lolodorf,CM,80.74,overcast clouds,3.2333,10.7333,Auberge La Decouverte
189,Anjangaon,IN,77.43,overcast clouds,21.1631,77.3094,Shivam Lodge
191,Ushtobe,KZ,79.5,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
192,North Myrtle Beach,US,88.09,clear sky,33.816,-78.68,Avista Resort
193,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
201,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
207,Sesheke,ZM,78.76,scattered clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
208,Funadhoo,MV,83.14,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
214,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
216,Hohoe,GH,86.05,scattered clouds,7.1518,0.4736,Agumatsa Falls Lodge
217,Carauari,BR,82.0,broken clouds,-4.8828,-66.8958,Hotel Fellip
218,Ajaccio,FR,84.36,clear sky,42.0,8.9167,Sole E Monte
221,Dhidhdhoo,MV,82.96,overcast clouds,6.8833,73.1,Dhidhoo beach
224,Deblin,PL,84.02,clear sky,51.5591,21.8483,Pokoje Goscinne Deblin
226,Correntina,BR,84.97,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
230,Shahrud,IR,76.17,overcast clouds,36.4182,54.9763,Royal Hotel
232,Bela,IN,83.44,light rain,25.9333,81.9833,Raj Bhawan
236,Zonguldak,TR,77.85,clear sky,41.25,31.8333,Süleyman Tez Ev
241,Buchanan,LR,82.08,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
242,Brigantine,US,77.16,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
243,Yining,CN,79.5,clear sky,29.0361,114.5636,Xiushui Hotel
244,Port Blair,IN,82.24,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,Yambio,SS,76.08,light rain,4.5721,28.3955,Naivasha Hotel
246,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
249,West Bay,KY,88.07,scattered clouds,19.3667,-81.4167,Calypso Cove
250,Kremenki,RU,81.5,overcast clouds,54.885,37.1261,Country house Troitskoe 114
251,Iralaya,HN,80.69,overcast clouds,15.0,-83.2333,Iglesia morava renovada
253,Shirvan,AZ,85.95,broken clouds,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
254,Roquetas De Mar,ES,84.2,few clouds,36.7642,-2.6148,Hotel Don Ángel
