City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,59,40,28.77,scattered clouds
132,Manta,EC,-0.95,-80.7333,76.78,73,20,10.36,few clouds
133,Kovur,IN,14.4833,79.9833,94.05,37,100,16.62,overcast clouds
134,Lusambo,CD,-4.9667,23.45,99.34,16,7,1.81,clear sky
135,San Luis,AR,-33.295,-66.3356,50.43,25,0,12.73,clear sky
136,Ponta Do Sol,PT,32.6667,-17.1,77.63,60,25,4.16,scattered clouds
137,Sisimiut,GL,66.9395,-53.6735,50.54,64,99,3.31,overcast clouds
138,Meiganga,CM,6.5167,14.3,79.79,57,81,5.57,broken clouds
139,Rzhev,RU,56.2624,34.3282,80.06,45,99,9.33,very heavy rain
140,Victoria,HK,22.2855,114.1577,86.38,87,98,1.99,overcast clouds
141,Ondjiva,AO,-17.0667,15.7333,80.64,17,0,4.61,clear sky
142,Torbay,CA,47.6666,-52.7314,64.76,91,90,9.22,overcast clouds
143,Rehoboth,NA,-23.3167,17.0833,71.47,12,0,12.01,clear sky
144,Mar Del Plata,AR,-38.0023,-57.5575,51.01,71,0,9.22,clear sky
145,Bantry,IE,51.6833,-9.45,60.75,86,100,4.47,moderate rain
146,Vigrestad,NO,58.5667,5.7,67.96,75,99,8.32,overcast clouds
147,Cockburn Town,TC,21.4612,-71.1419,87.76,58,40,11.5,scattered clouds
148,Mezen,RU,65.8522,44.24,57.61,52,98,5.64,overcast clouds
149,Cabedelo,BR,-6.9811,-34.8339,84.87,66,43,11.25,scattered clouds
150,Clyde River,CA,70.4692,-68.5914,48.43,76,75,10.36,broken clouds
151,Sao Borja,BR,-28.6606,-56.0044,47.19,52,0,3.65,clear sky
152,Derzhavinsk,KZ,51.1,66.3167,70.09,31,0,11.12,clear sky
153,Pryluky,UA,50.5932,32.3876,85.35,48,75,7.16,broken clouds
154,Lapua,FI,62.9693,23.0088,75.88,58,93,6.31,overcast clouds
155,Murakeresztur,HU,46.3642,16.8818,90.34,27,0,3.29,clear sky
156,Narsaq,GL,60.9167,-46.05,53.82,71,100,5.28,overcast clouds
157,Iskateley,RU,67.6803,53.1512,51.31,69,100,1.92,overcast clouds
158,Santiago Del Estero,AR,-27.7951,-64.2615,51.8,32,0,9.71,clear sky
159,Ambalavao,MG,-21.8333,46.9333,60.6,82,60,6.22,broken clouds
160,Hofn,IS,64.2539,-15.2082,57.22,82,20,8.05,few clouds
161,Saint-Pierre,RE,-21.3393,55.4781,71.28,69,0,26.46,clear sky
162,Veraval,IN,20.9,70.3667,82.09,84,100,23.64,overcast clouds
163,Iquique,CL,-20.2208,-70.1431,57.24,62,59,5.64,broken clouds
164,Umuarama,BR,-23.7664,-53.325,46.38,41,2,8.99,clear sky
165,Panama City,PA,8.9936,-79.5197,87.06,73,40,6.91,scattered clouds
166,Porto Novo,BJ,6.4965,2.6036,84.02,53,32,12.84,scattered clouds
167,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,64,20,8.97,few clouds
168,Luderitz,NA,-26.6481,15.1594,68.79,41,0,21.43,clear sky
169,Acarau,BR,-2.8856,-40.12,87.85,57,24,11.88,few clouds
170,Martinsicuro,IT,42.8811,13.9145,92.95,51,0,8.05,clear sky
171,Grand Gaube,MU,-20.0064,57.6608,70.38,70,86,10.0,overcast clouds
172,Izhma,RU,65.0083,53.9113,54.48,65,99,3.13,overcast clouds
173,Pangnirtung,CA,66.1451,-65.7125,51.8,76,1,11.5,clear sky
174,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,46.36,66,12,12.75,few clouds
175,Faya,SA,18.3851,42.4509,73.51,54,79,11.03,broken clouds
176,Jumla,NP,29.2747,82.1838,64.74,96,100,2.66,light rain
177,Maldonado,UY,-34.6667,-54.9167,46.22,67,17,13.44,few clouds
178,Pavino,RU,59.1139,46.1414,65.79,86,100,10.02,overcast clouds
179,Talcahuano,CL,-36.7167,-73.1167,53.28,58,0,6.91,clear sky
180,Muros,ES,42.7762,-9.0603,78.1,48,0,18.7,clear sky
181,Souillac,MU,-20.5167,57.5167,70.36,78,40,17.27,scattered clouds
182,Finnsnes,NO,69.2296,17.9811,65.01,58,99,4.54,overcast clouds
183,Samarina,RU,57.8878,27.8054,78.69,59,42,7.49,scattered clouds
184,Purpe,RU,64.4803,76.6897,58.62,83,100,14.36,overcast clouds
185,Lolodorf,CM,3.2333,10.7333,80.74,63,85,5.88,overcast clouds
186,Sur,OM,22.5667,59.5289,104.47,33,83,14.43,broken clouds
187,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.85,27,0,4.54,clear sky
188,Kastamonu,TR,41.5,33.6667,77.94,31,0,11.39,clear sky
189,Anjangaon,IN,21.1631,77.3094,77.43,82,100,11.83,overcast clouds
190,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,74.35,32,0,6.62,clear sky
191,Ushtobe,KZ,45.2514,77.9838,79.5,15,0,9.64,clear sky
192,North Myrtle Beach,US,33.816,-78.68,88.09,83,1,1.99,clear sky
193,Salalah,OM,17.0151,54.0924,80.69,83,90,12.66,overcast clouds
194,Paamiut,GL,61.994,-49.6678,41.94,93,100,5.06,overcast clouds
195,Necochea,AR,-38.5473,-58.7368,50.04,49,9,12.55,clear sky
196,Shar,KZ,49.5886,81.0453,70.38,36,100,8.5,overcast clouds
197,Luebo,CD,-5.35,21.4167,98.19,14,2,2.17,clear sky
198,Siavonga,ZM,-16.5382,28.7088,74.17,36,0,3.0,clear sky
199,Vardo,NO,70.3705,31.1107,48.4,85,95,7.65,overcast clouds
200,Nyrob,RU,60.733,56.7202,60.35,60,91,1.63,overcast clouds
201,Saint-Georges,GD,12.0564,-61.7485,78.48,89,75,13.8,broken clouds
202,Krasnoselkup,RU,65.7,82.4667,64.89,60,100,16.04,overcast clouds
203,Villa Carlos Paz,AR,-31.4241,-64.4978,49.89,42,0,11.99,clear sky
204,Oranjemund,NA,-28.55,16.4333,59.45,57,0,17.96,clear sky
205,Akureyri,IS,65.6835,-18.0878,51.73,82,90,2.3,overcast clouds
206,Jaciara,BR,-15.9653,-54.9683,65.97,18,0,9.62,clear sky
207,Sesheke,ZM,-17.4759,24.2968,78.76,16,26,8.01,scattered clouds
208,Funadhoo,MV,6.15,73.2667,83.14,73,90,12.15,overcast clouds
209,Sistranda,NO,63.7256,8.834,66.16,87,77,18.84,broken clouds
210,Atbasar,KZ,51.8,68.3333,67.87,36,1,9.28,clear sky
211,Vathi,GR,38.4,23.6,105.75,13,0,8.05,clear sky
212,Trinidad,BO,-14.8333,-64.9,64.38,34,75,13.8,broken clouds
213,Goure,NE,13.9835,10.2704,91.02,40,99,1.66,overcast clouds
214,Lucea,JM,18.451,-78.1736,85.86,72,40,7.0,scattered clouds
215,Bonavista,CA,48.6499,-53.1147,65.12,93,100,9.26,light rain
216,Hohoe,GH,7.1518,0.4736,86.05,49,36,5.37,scattered clouds
217,Carauari,BR,-4.8828,-66.8958,82.0,46,53,7.7,broken clouds
218,Ajaccio,FR,42.0,8.9167,84.36,58,0,12.66,clear sky
